team,xG,xGA,npxG,npxGA,season
Chelsea,61.796887,28.6189194,58.607913,27.0965814,1617
Tottenham Hotspur,70.065979,33.781932899999994,63.21544900000001,32.259602900000004,1617
Manchester City,79.851438,29.607515999999997,73.00099800000002,25.657367999999998,1617
Liverpool,66.63255800000002,37.652328499999996,60.54320899999999,33.8464865,1617
Arsenal,63.581256999999994,47.071277,59.01423599999999,39.4595841,1617
Manchester United,57.571359,31.623915000000004,54.526678000000004,27.818071799999995,1617
Everton,49.6324541,45.78298399999999,46.5877771,41.977173,1617
Bournemouth,50.01613400000001,62.992387,42.4044348,59.18653199999999,1617
Southampton,49.9841215,43.08468100000001,45.4171075,36.23415600000001,1617
West Ham United,48.24555600000002,59.67157099999998,44.986651000000016,53.58221899999998,1617
West Bromwich Albion,38.213618,47.90015100000001,37.452448,45.616634999999995,1617
Stoke City,47.87402199999998,48.66872600000001,43.30700399999999,47.14638600000001,1617
Leicester City,44.34083300000001,51.30437300000001,39.65696000000001,48.259735,1617
Crystal Palace,45.40267000000001,50.031653999999996,40.074496999999994,48.509315,1617
Swansea City,39.49954290000001,65.129661,37.216033900000006,58.923443000000006,1617
Watford,36.25455790000001,52.61801400000001,33.9710549,49.573337,1617
Burnley,35.59173399999999,55.26861699999999,31.024714000000003,51.248536,1617
Hull City,33.839492,71.77442400000002,31.555987,61.87924200000001,1617
Middlesbrough,30.930126300000005,55.3013599,29.4077853,51.4955189,1617
Sunderland,34.22368,65.66352800000001,30.41783310000001,62.61884800000001,1617
Manchester City,91.43414500000002,24.511917699999994,85.123985,22.9896197,1718
Manchester United,59.043412,43.540152000000006,56.63111899999999,42.778982,1718
Tottenham Hotspur,68.91189399999999,35.859433,66.628384,33.476814000000005,1718
Liverpool,77.48511899999998,35.75162070000001,75.183319,31.1846147,1718
Chelsea,59.16068900000001,34.034713700000005,56.87721900000001,32.512374699999995,1718
Arsenal,72.269335,48.745315999999995,68.46348599999999,44.178293,1718
Burnley,32.771712,52.156890999999995,32.771712,48.351043,1718
Everton,43.70751099999999,55.495771999999995,37.50187199999999,51.690003000000004,1718
Leicester City,50.28871369999999,49.35872299999999,45.72174069999999,46.31403699999999,1718
Crystal Palace,56.749704,53.53526900000001,49.138176,52.012933,1718
Bournemouth,39.991859999999996,64.93248999999999,37.708349,62.64902000000001,1718
Newcastle United,44.62560799999999,52.472364000000006,43.86443799999999,47.75404200000001,1718
West Ham United,36.80133,58.36886899999997,33.75665299999999,53.70596199999999,1718
Watford,45.847429,53.981191,41.129107,49.414176,1718
Brighton and Hove Albion,37.2144165,53.083801,31.886234499999997,50.80029899999998,1718
Huddersfield Town,32.133843199999994,53.216161,30.611543200000003,48.502148999999996,1718
Southampton,41.88014700000001,46.555427,39.59663800000001,45.03309099999999,1718
Stoke City,36.754259000000005,65.54098400000001,34.47075399999999,61.735176,1718
Swansea City,29.7130847,61.83360399999999,28.9519147,57.124501,1718
West Bromwich Albion,35.184401,48.993914000000004,34.42323,48.232744,1718
Manchester City,93.720559,25.732604100000003,90.67588,22.687925100000005,1819
Liverpool,79.45754000000002,29.145105000000004,74.12935999999999,28.38393600000001,1819
Chelsea,63.968004,38.10768700000001,60.162158,36.447257,1819
Tottenham Hotspur,61.746657000000006,49.14606800000002,58.70202,45.34022,1819
Arsenal,64.79537200000001,57.2974875,60.98952099999999,51.969339500000004,1819
Manchester United,68.61749799999998,52.30019000000002,59.37586199999999,47.733182000000006,1819
Wolverhampton Wanderers,53.05869160000001,42.691294,50.01401560000002,39.646622,1819
Everton,53.86613399999999,49.30978990000001,49.92234399999998,45.396306900000006,1819
West Ham United,47.96052790000002,65.66202299999999,44.15483690000002,61.856183,1819
Leicester City,52.11415300000001,44.642585,46.78597900000001,40.836749,1819
Watford,51.73354600000001,63.291170999999984,50.97237600000002,59.485323,1819
Crystal Palace,50.642166,52.804285,42.269351,48.998432,1819
Newcastle United,39.9106505,57.545492,37.6271415,52.978485000000006,1819
Bournemouth,58.812899,62.423162,51.962379,58.61741299999999,1819
Burnley,44.7412159,66.12206499999999,43.2189159,63.83859499999999,1819
Southampton,49.671325,59.27171400000001,45.86548,56.98821400000002,1819
Brighton and Hove Albion,37.027868,62.46214499999999,32.46084400000001,54.850534,1819
Cardiff City,41.7697266,66.503167,38.7250676,61.174976,1819
Fulham,42.621864,73.58661000000002,40.338362,68.25856000000002,1819
Huddersfield Town,29.002263000000006,67.194016,28.241097999999997,61.10473900000001,1819
Liverpool,75.19336999999999,39.572898200000004,71.38752000000002,38.8117282,1920
Manchester City,102.20523300000004,36.99762900000001,93.533026,34.71412300000001,1920
Manchester United,66.186663,38.05916400000001,55.53038399999999,35.77565900000001,1920
Chelsea,76.227787,41.0882999,70.89959900000002,39.5659679,1920
Leicester City,61.0171647,47.894043,55.6739347,40.282434,1920
Tottenham Hotspur,49.021303,54.12711099999999,45.832640000000005,48.798972,1920
Wolverhampton Wanderers,54.22398100000001,37.389273900000006,51.179312,34.961053899999996,1920
Arsenal,50.82221799999999,57.25226600000001,48.53879799999999,51.00759600000001,1920
Burnley,49.3468938,53.839223,47.06338279999999,50.01831,1920
Sheffield United,45.81162100000001,52.04245699999999,45.050451,49.75894499999998,1920
Southampton,56.496626000000006,56.592573,52.535483000000006,53.54791400000001,1920
Everton,53.710143,49.21162200000001,52.948976,46.167031,1920
Newcastle United,36.491737,67.02935099999999,35.73056699999999,65.50701099999999,1920
Crystal Palace,34.447955500000006,57.392237,32.1644455,56.631067,1920
Brighton and Hove Albion,47.42406100000001,60.41584899999999,45.90173000000002,58.89350899999999,1920
West Ham United,49.069113200000004,68.32332199999999,46.024436200000004,63.75633899999999,1920
Aston Villa,45.08898899999999,71.595382,42.652500999999994,66.88436700000001,1920
Watford,48.56263699999999,59.52811300000001,42.473274999999994,52.522923,1920
Bournemouth,44.6710449,63.29434499999999,41.626458899999996,58.727336999999984,1920
Norwich,37.234174900000006,71.60755700000001,35.711833899999995,66.126467,1920
